	sequences per sample	iteration	PC.636	PC.481	PC.354	PC.635	PC.593	PC.356	PC.355	PC.607	PC.634
alpha_rarefaction_114_5.biom	114	5	53.0	64.0	47.0	70.0	45.0	66.0	56.0	57.0	55.0
alpha_rarefaction_114_6.biom	114	6	52.0	69.0	53.0	74.0	39.0	63.0	51.0	66.0	53.0
alpha_rarefaction_114_7.biom	114	7	48.0	70.0	51.0	76.0	38.0	68.0	52.0	66.0	53.0
alpha_rarefaction_114_8.biom	114	8	54.0	64.0	52.0	74.0	40.0	64.0	54.0	62.0	56.0
alpha_rarefaction_114_9.biom	114	9	52.0	69.0	49.0	75.0	43.0	68.0	57.0	63.0	54.0
alpha_rarefaction_127_0.biom	127	0	55.0	73.0	58.0	79.0	43.0	74.0	59.0	75.0	59.0
alpha_rarefaction_127_1.biom	127	1	58.0	72.0	53.0	77.0	43.0	72.0	57.0	72.0	54.0
alpha_rarefaction_127_2.biom	127	2	54.0	70.0	57.0	77.0	40.0	75.0	57.0	72.0	55.0
alpha_rarefaction_127_3.biom	127	3	55.0	72.0	51.0	78.0	41.0	77.0	54.0	66.0	58.0
alpha_rarefaction_127_4.biom	127	4	50.0	74.0	55.0	82.0	43.0	71.0	59.0	69.0	57.0
alpha_rarefaction_127_5.biom	127	5	57.0	71.0	55.0	80.0	45.0	73.0	58.0	73.0	60.0
alpha_rarefaction_127_6.biom	127	6	57.0	74.0	55.0	77.0	44.0	72.0	57.0	68.0	60.0
alpha_rarefaction_127_7.biom	127	7	54.0	73.0	56.0	81.0	45.0	78.0	55.0	69.0	57.0
alpha_rarefaction_127_8.biom	127	8	53.0	75.0	58.0	83.0	42.0	72.0	59.0	73.0	55.0
alpha_rarefaction_127_9.biom	127	9	55.0	78.0	57.0	78.0	43.0	72.0	60.0	71.0	55.0
alpha_rarefaction_140_0.biom	140	0	59.0	78.0	60.0	88.0	48.0	77.0	62.0	72.0	63.0
alpha_rarefaction_140_1.biom	140	1	58.0	77.0	60.0	86.0	45.0	79.0	58.0	74.0	61.0
alpha_rarefaction_140_2.biom	140	2	60.0	81.0	61.0	87.0	45.0	79.0	61.0	75.0	61.0
alpha_rarefaction_140_3.biom	140	3	59.0	77.0	60.0	86.0	47.0	80.0	60.0	75.0	61.0
alpha_rarefaction_140_4.biom	140	4	61.0	77.0	63.0	88.0	47.0	79.0	60.0	75.0	61.0
alpha_rarefaction_140_5.biom	140	5	59.0	79.0	59.0	88.0	42.0	79.0	60.0	73.0	62.0
alpha_rarefaction_140_6.biom	140	6	59.0	78.0	60.0	85.0	47.0	81.0	59.0	73.0	61.0
alpha_rarefaction_140_7.biom	140	7	60.0	78.0	61.0	83.0	46.0	79.0	60.0	74.0	61.0
alpha_rarefaction_140_8.biom	140	8	62.0	79.0	61.0	86.0	48.0	77.0	60.0	72.0	62.0
alpha_rarefaction_140_9.biom	140	9	62.0	79.0	61.0	87.0	44.0	78.0	61.0	74.0	61.0
