	sequences per sample	iteration	PC.636	PC.635	PC.356	PC.481	PC.354	PC.593	PC.355	PC.607	PC.634
alpha_rarefaction_82_1.biom	82	1	39.0	58.0	54.0	50.0	33.0	34.0	43.0	44.0	39.0
alpha_rarefaction_82_2.biom	82	2	42.0	59.0	53.0	55.0	42.0	31.0	41.0	49.0	44.0
alpha_rarefaction_82_3.biom	82	3	45.0	52.0	51.0	54.0	44.0	36.0	45.0	49.0	44.0
alpha_rarefaction_82_4.biom	82	4	43.0	60.0	53.0	53.0	36.0	32.0	37.0	49.0	42.0
alpha_rarefaction_82_5.biom	82	5	43.0	54.0	53.0	54.0	39.0	32.0	44.0	49.0	45.0
alpha_rarefaction_82_6.biom	82	6	45.0	55.0	53.0	51.0	39.0	36.0	42.0	50.0	39.0
alpha_rarefaction_82_7.biom	82	7	43.0	57.0	51.0	51.0	41.0	34.0	43.0	51.0	42.0
alpha_rarefaction_82_8.biom	82	8	41.0	58.0	48.0	55.0	41.0	32.0	42.0	49.0	45.0
alpha_rarefaction_82_9.biom	82	9	45.0	54.0	53.0	52.0	42.0	33.0	39.0	54.0	44.0
alpha_rarefaction_91_0.biom	91	0	41.0	60.0	60.0	59.0	44.0	35.0	44.0	53.0	48.0
alpha_rarefaction_91_1.biom	91	1	45.0	62.0	55.0	55.0	46.0	34.0	45.0	55.0	51.0
alpha_rarefaction_91_2.biom	91	2	43.0	61.0	55.0	56.0	43.0	35.0	43.0	53.0	48.0
alpha_rarefaction_91_3.biom	91	3	46.0	63.0	64.0	60.0	43.0	37.0	45.0	56.0	45.0
alpha_rarefaction_91_4.biom	91	4	45.0	66.0	58.0	54.0	45.0	38.0	44.0	53.0	45.0
alpha_rarefaction_91_5.biom	91	5	41.0	60.0	61.0	57.0	37.0	31.0	44.0	59.0	46.0
alpha_rarefaction_91_6.biom	91	6	43.0	63.0	56.0	63.0	46.0	37.0	46.0	53.0	48.0
alpha_rarefaction_91_7.biom	91	7	44.0	65.0	55.0	56.0	39.0	33.0	44.0	54.0	49.0
alpha_rarefaction_91_8.biom	91	8	40.0	56.0	60.0	53.0	38.0	35.0	44.0	56.0	50.0
alpha_rarefaction_91_9.biom	91	9	40.0	59.0	60.0	58.0	46.0	35.0	47.0	51.0	50.0
alpha_rarefaction_100_0.biom	100	0	48.0	69.0	57.0	64.0	45.0	36.0	52.0	59.0	46.0
alpha_rarefaction_100_1.biom	100	1	48.0	67.0	65.0	57.0	46.0	35.0	46.0	56.0	47.0
alpha_rarefaction_100_2.biom	100	2	48.0	71.0	62.0	65.0	48.0	34.0	49.0	60.0	50.0
alpha_rarefaction_100_3.biom	100	3	48.0	66.0	63.0	61.0	46.0	38.0	50.0	58.0	54.0
alpha_rarefaction_100_4.biom	100	4	52.0	68.0	64.0	62.0	46.0	38.0	47.0	55.0	55.0
alpha_rarefaction_100_5.biom	100	5	52.0	66.0	58.0	63.0	43.0	36.0	49.0	59.0	50.0
alpha_rarefaction_100_6.biom	100	6	44.0	66.0	60.0	62.0	47.0	36.0	49.0	52.0	47.0
alpha_rarefaction_100_7.biom	100	7	47.0	69.0	59.0	59.0	47.0	40.0	49.0	57.0	46.0
alpha_rarefaction_100_8.biom	100	8	45.0	62.0	63.0	64.0	50.0	38.0	52.0	57.0	47.0
alpha_rarefaction_100_9.biom	100	9	47.0	63.0	60.0	65.0	49.0	39.0	49.0	55.0	49.0
